"id","partnumber","description","manufacturer","lib","aircraft","created_at","updated_at"
"82","D22699000","LEG STRUCTURE, NLG","SAFRAN LS","37",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"83","D22699072","LEG STRUCTURE, NLG","SAFRAN LS","37",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"84","D22870000","LEG STRUCTURE COVERING, NLG","SAFRAN LS","37",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"85","D22870072","LEG STRUCTURE COVERING, NLG","SAFRAN LS","37",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"86","C24568000","DIFFERENTIAL CONTROL SELECTOR VALVE","SAFRAN LS","38",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"87","C24483010","SWIVEL SELECTOR VALVE","SAFRAN LS","39",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"88","D22745000","ANTI SHIMMY VALVE, NLG","SAFRAN LS","39",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"89","D22701000","ELECTRICAL HARNESS, NLG","SAFRAN LS","40",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"90","D22701072","ELECTRICAL HARNESS, NLG","SAFRAN LS","40",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"91","D22701500","ELECTRICAL HARNESS, NLG","SAFRAN LS","40",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"92","D22878000","SWITCH ASSEMBLY, NLG & MLG","SAFRAN LS","40",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"93","D22883000","SWITCH ASSEMBLY, NLG & MLG","SAFRAN LS","40",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"94","D23571000","ELECTRICAL HARNESS","SAFRAN LS","40",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"95","D23572000","ELECTRICAL HARNESS","SAFRAN LS","40",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
