"id","Code","Material","Specification","VER","created_at","updated_at"
"391","PC-0405","Paint","BRIGHT ALUMINIUM  TOPCOAT 4080 Y 742","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"392","PC-0410","Paint scheme PU66","REACTIVE PRIMER P99 7641 3600 / REACTIVE THINNER 0841 9000 / THINNER 0434 9000","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"393","PC-0415","Paint scheme PU66","PRIMER PAC33 4355/3600 HARDENER 0701/9000 THINNER 0433/9000","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"394","PC-0420","Paint scheme PU66","BRIGHT5440 7005ALUMINIUM FINISH","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"395","PC-0425","Paint scheme PU66","HARDENER 0730 9000","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"396","PC-0430","Paint scheme PU66","PRIMER ","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"397","PC-0435","Primer","Primer 131","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"398","PC-0440","Primer","Primer 1200","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"399","PC-0445","Anodic Coatings","MIL-A-8625","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"400","PC-0450","Primer","Single Pack Nylon Primer","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"401","PC-0455","Primer","Rilprim BD16A /BD16B","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"402","PC-0460","Primer","Nylon 11 Rilsan Natural, Grade B    ","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"403","PC-0465","Thinner","T17 Thinner","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"404","PC-0470","Seal coat","Sermaseal 570 or Ipseal 9184","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"405","PC-0475","Wax based coating","Sermetel 751 or Ipcote IP 9751","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"406","PC-0480","Base Coating","Sermetel 962","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"407","PC-0485","Sealing Topcoat","Sermaseal 570A","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"408","PC-0490","Thread Coating","Sermetel 75","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"409","PC-0495","Friction Coating","PTFE based Low Friction Coating Sermetel 1140","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"410","PC-0500","Repair Coating","Sermetel 1072","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"411","PC-0505","Repair Coating","Sermalon 1622 Part A and B","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"412","PC-0510","Repair Coating","Sermalon 1624","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
